"study","n0","mu0","sd0","n1","mu1","sd1","y.cohen","s2.cohen","y.hedges","s2.hedges","cohen.dl.theta","hedges.dl.theta"
"Study01",456,-1.25203718277122,1.42495788168162,455,-1.14878487186113,1.42495788168162,0.017225664989365,0.00439094786820785,0.0172114484845594,0.00439094724118675,-0.0921335934032524,-0.0920207973115273
"Study02",386,0.0573834344024656,3.95055458880961,386,-3.25227055146051,3.95055458880961,-0.794620918698571,0.00559136169859242,-0.793846685909972,0.00558950295384083,-0.0921335934032524,-0.0920207973115273
"Study03",495,1.42954271839455,1.21066674496979,495,1.05201072067119,1.21066674496979,-0.250988978081984,0.00407228433752886,-0.250798401788832,0.00407217163552517,-0.0921335934032524,-0.0920207973115273
"Study04",353,-0.121107721374986,4.31460729986429,353,-1.70224725021483,4.31460729986429,-0.393522139610058,0.00577570794378186,-0.393102755447063,0.00577516273111903,-0.0921335934032524,-0.0920207973115273
"Study05",460,-0.015181811388404,2.86886025033891,460,0.761497729235339,2.86886025033891,0.291629962991519,0.00439414854627811,0.291391638314598,0.00439397232982591,-0.0921335934032524,-0.0920207973115273
"Study06",270,1.94641152341706,4.157440578565,270,0.379818244403213,4.157440578565,-0.320438319533075,0.00750283558270962,-0.319991404164131,0.00750221712846197,-0.0921335934032524,-0.0920207973115273
"Study07",429,1.10218945591068,2.10920817498118,429,2.81039780270783,2.10920817498118,0.811181824611457,0.00504635977449296,0.810470885238441,0.00504479199057062,-0.0921335934032524,-0.0920207973115273
"Study08",341,-0.550979066786375,2.26643148157746,341,0.13575303135874,2.26643148157746,0.327298982564212,0.0059438707451694,0.326937858273041,0.00594346654191508,-0.0921335934032524,-0.0920207973115273
"Study09",386,-0.931273931997667,2.58993147965521,385,-0.672709668936204,2.58993147965521,-0.0402087062051232,0.0051891273689266,-0.0401694781990694,0.0051891225972914,-0.0921335934032524,-0.0920207973115273
"Study10",317,0.97257963824047,3.54570825397968,317,0.96329661097437,3.54570825397968,0.0525895088548185,0.00631133628432093,0.0525270757220268,0.00631132420637532,-0.0921335934032524,-0.0920207973115273
"Study11",265,0.995764798769029,1.15305344760418,265,0.173097601013052,1.15305344760418,-0.556193779403804,0.00784011632670663,-0.555403357168744,0.00783818197090029,-0.0921335934032524,-0.0920207973115273
"Study12",470,-0.26256697455709,3.60331663582474,470,-2.96645925323964,3.60331663582474,-0.815562259536931,0.00460987234679384,-0.814909983669532,0.00460855227738525,-0.0921335934032524,-0.0920207973115273
"Study13",378,-0.213167510153556,3.12511608563364,378,1.12057351930233,3.12511608563364,0.451078907104056,0.00542593379261948,0.450630072370619,0.00542530916807192,-0.0921335934032524,-0.0920207973115273
"Study14",303,1.09531988586143,2.93470100034028,303,1.95268103026877,2.93470100034028,0.365446248171031,0.00671121549672041,0.364992277676409,0.00671057703198301,-0.0921335934032524,-0.0920207973115273
"Study15",446,1.29326285807066,1.19394950382411,446,0.327143058026107,1.19394950382411,-0.849648452420558,0.00488986813088186,-0.848932255354736,0.00488827689135744,-0.0921335934032524,-0.0920207973115273
"Study16",473,0.0040826001405367,3.52896984200925,472,-1.86549233806436,3.52896984200925,-0.589152835627517,0.00441684983359659,-0.588684138065363,0.00441616823954266,-0.0921335934032524,-0.0920207973115273
"Study17",487,0.244028610375368,2.4900829885155,487,0.335701773803849,2.4900829885155,0.0519401540539945,0.00410816392740759,0.0519000664640377,0.00410815894091323,-0.0921335934032524,-0.0920207973115273
"Study18",456,-1.06589451017146,3.07742838189006,456,-0.456155445503379,3.07742838189006,0.282995907345177,0.00442996858457417,0.282762604865915,0.0044297997207843,-0.0921335934032524,-0.0920207973115273
