"study","n0","mu0","sd0","n1","mu1","sd1","y.cohen","s2.cohen","y.hedges","s2.hedges","cohen.dl.theta","hedges.dl.theta"
"Study01",22,-1.24677789813066,3.23045162856579,21,-0.600687572417504,3.23045162856579,-0.104337951517938,0.0932063541483121,-0.102417621121902,0.0931955624819218,0.157325779659878,0.154288667145284
"Study02",24,-1.61952956583027,2.53412497323006,23,-1.11270457118425,2.53412497323006,0.328190936853156,0.0863416974365936,0.322690530090254,0.0862526847512311,0.157325779659878,0.154288667145284
"Study03",16,-0.0822723590909646,1.18765708710998,15,0.155259058331032,1.18765708710998,0.2301039850505,0.130079560527634,0.224101272397008,0.129976688929408,0.157325779659878,0.154288667145284
"Study04",19,-0.5908751341052,4.2855865880847,19,0.266242183511739,4.2855865880847,0.11225655193293,0.105438179192679,0.109901519374896,0.10542208347317,0.157325779659878,0.154288667145284
"Study05",18,-0.259867814818198,2.06568056251854,17,0.15326829768551,2.06568056251854,0.262882070408751,0.115426160466447,0.256861870323055,0.115321628116261,0.157325779659878,0.154288667145284
"Study06",16,-1.77120435069209,3.94486063718796,15,-0.9822322232545,3.94486063718796,0.0407019665524763,0.129195229599102,0.0396401761206725,0.129192010917681,0.157325779659878,0.154288667145284
"Study07",17,0.0784853883565858,1.92720963992178,17,0.463927316340943,1.92720963992178,-0.18601142153893,0.118187687713263,-0.181617450951396,0.118132130860148,0.157325779659878,0.154288667145284
"Study08",19,-1.65970032080699,1.59851196687669,19,-1.33999792743166,1.59851196687669,0.167358146860717,0.105652168301968,0.163847136786716,0.105616393213595,0.157325779659878,0.154288667145284
"Study09",21,-0.325184422862112,3.8236121693626,20,0.439538011010409,3.8236121693626,0.256441465631833,0.0984621530715528,0.251478082426056,0.0983902820817389,0.157325779659878,0.154288667145284
"Study10",24,0.0163420924423744,1.50184961408377,24,0.316712015259128,1.50184961408377,0.0900178202128329,0.0834214116806797,0.0885421182421307,0.0834149969448209,0.157325779659878,0.154288667145284
"Study11",20,0.339226916074299,1.90213864762336,19,0.719654645598971,1.90213864762336,0.253566635098904,0.10350044433163,0.248391805811171,0.103422585219088,0.157325779659878,0.154288667145284
"Study12",15,-0.141877742787771,1.91234563291073,15,0.240591383794375,1.91234563291073,0.142237593052443,0.133694610706143,0.138393333780756,0.133652545247249,0.157325779659878,0.154288667145284
"Study13",20,-0.48775509965599,4.78943345230073,20,0.470131590804156,4.78943345230073,-0.0979121220529459,0.100126141890065,-0.0959668481048741,0.10011512044919,0.157325779659878,0.154288667145284
"Study14",22,0.55521532604045,3.70395032595843,21,1.29600539123214,3.70395032595843,0.727498458582419,0.099527910235054,0.714108916399921,0.0990032621954753,0.157325779659878,0.154288667145284
"Study15",21,0.0770607630252982,3.91097444202751,21,0.8592556514308,3.91097444202751,0.414817327312747,0.0973890129260814,0.406990585287978,0.0972100159108697,0.157325779659878,0.154288667145284
"Study16",15,0.138908620913321,3.32111749984324,15,0.803132120881969,3.32111749984324,-0.195083881536887,0.13401293549111,-0.189811344198052,0.133933805773105,0.157325779659878,0.154288667145284
